,t,IME,IME_q0,IME_q1,IME_std,IIME,IIME_q0,IIME_q1,IIME_std,DIME,DIME_q0,DIME_q1,DIME_std,sum,mediator,imp_iter
0,0,0.0009355720826312346,-0.0059959763447632805,0.0066104952565863495,0.0034476199121724936,0.0009355720826312346,-0.0059959763447632805,0.0066104952565863495,0.0034476199121724936,0.0,0.0,0.0,0.0,0.0009355720826312346,STEP_COUNT,4
1,1,-0.0031080215851381223,-0.012649615116237684,0.005434801333518467,0.005101833519287535,-0.008663607170138438,-0.022620799269848536,0.00029686180154355315,0.005959656365423061,0.0015119919172309594,-0.010623771312077533,0.014446012597870664,0.00582175857504779,-0.007151615252907479,STEP_COUNT,4
2,2,-0.000867470666580417,-0.012615509207264747,0.010375560845590156,0.005539320399416265,0.0037264423858581223,-0.0023227231245763554,0.014569671033156116,0.004312508391187049,-0.00011281121532312867,-0.014184786304058993,0.012266450219079187,0.006592561402410043,0.0036136311705349936,STEP_COUNT,4
3,3,-0.00029077273739210377,-0.01209904633283165,0.0111708751712603,0.005645136033238191,0.0011238092857688922,-0.004963856973163372,0.006127518767438049,0.0024877267758575783,0.00031551176440394366,-0.011830308249388242,0.012700957462644167,0.006018826435443962,0.0014393210501728359,STEP_COUNT,4
4,4,-0.0003906351241361204,-0.012449222376860018,0.01197022855366364,0.006160072205192769,-0.0003596364073455754,-0.0230566112683223,0.02627388722879621,0.01263563711922897,-0.0004304482637666114,-0.011453031470595693,0.008369881880032072,0.004991352052025991,-0.0007900846711121868,STEP_COUNT,4
5,5,0.0015725641341646727,-0.01074834777050402,0.016435777800103257,0.00689972763133253,0.0004410818397542956,-0.004923772924223109,0.006417176389855654,0.0025058147685808664,0.010947478585914343,-0.00830993313931481,0.037428767676809804,0.013616394083220285,0.011388560425668638,STEP_COUNT,4
6,6,0.001868535815440985,-0.010135770825684858,0.01729607491976677,0.007267702609658328,0.0024140545273991596,-0.002800341408993428,0.009481359974626964,0.0031743296369832683,0.0012303113756997005,-0.02328441797602679,0.0227594533988805,0.01188625598038329,0.00364436590309886,STEP_COUNT,4
7,7,0.00219014865200851,-0.009546385530832617,0.018009938945728294,0.007353755288516622,1.8908855665108975e-07,-0.0030070190868507142,0.0017768039974757545,0.001210044871424931,0.004441249419424534,-0.008147930856166849,0.030443420916309142,0.009457812450310693,0.004441438507981185,STEP_COUNT,4
8,8,0.000592623317935134,-0.01216882190592829,0.014161716746260326,0.007226456679101791,-0.015701156660914515,-0.06337798711716565,0.014274106482293597,0.019517055995865326,0.0035135773062626406,-0.01107280477447045,0.024861959572513852,0.008281962262566424,-0.012187579354651874,STEP_COUNT,4
9,9,-0.0007802783786780402,-0.013426367732629955,0.012943415206910582,0.0072129589702307605,-0.005931985484409186,-0.0156496078736404,0.00198902650274034,0.0047394364512556054,-0.007204408163787421,-0.04133480394754122,0.01527339072688045,0.013795260596736525,-0.013136393648196607,STEP_COUNT,4
10,10,-0.0016303196939339904,-0.014186565649206824,0.012235681797275157,0.007164368497839825,-0.0029204036960665844,-0.010027351235685353,0.0028842928205822906,0.0033806620367313137,-0.00721032915042691,-0.03126619613427594,0.008103914244133266,0.010448845900470193,-0.010130732846493495,STEP_COUNT,4
11,11,-0.0010035068623174164,-0.012807519438468747,0.012911178922142047,0.007009460909151839,0.0028415217862710453,-0.0021998205743538196,0.00999429016823765,0.004001803428586659,0.003049912499193852,-0.017941511383873926,0.0218708997918418,0.010649570170977363,0.0058914342854648975,STEP_COUNT,4
12,12,-0.0010102183300168491,-0.013347590768356706,0.014353359128483682,0.007084149879106475,0.002459194571383113,-0.013434188341961318,0.02407496339100075,0.010388285018242597,-0.003549950513793156,-0.023036432960042683,0.01385220450448364,0.009279261126438686,-0.001090755942410043,STEP_COUNT,4
13,13,-0.0008608631356463812,-0.013343525950873538,0.01447081841659677,0.007239021168716257,0.0067797823959256116,-0.006335496340026478,0.021693396134837596,0.008132626114800184,-0.00569902800475591,-0.03808964068142025,0.025165819494891765,0.016780971531094653,0.0010807543911697014,STEP_COUNT,4
14,14,-0.0010992435901077543,-0.013561331836094825,0.013859135605463419,0.00717390583389939,-0.0025584816358238103,-0.011284282610604508,0.007347715879498332,0.004623643868963526,-0.0018780883167431686,-0.024559927518073347,0.01325520064351726,0.009290799895688649,-0.004436569952566979,STEP_COUNT,4
15,15,-0.0013566671195785972,-0.013297746209161031,0.013072108071618089,0.007045651396496051,-0.0014527544142396436,-0.006674891795845351,0.0038623404390259173,0.0027677453355274954,-0.0037652656474015957,-0.021348409081682916,0.012152144397564936,0.009095731518376154,-0.005218020061641239,STEP_COUNT,4
16,16,-0.0019851794699269373,-0.013010630907426317,0.011547864438421112,0.0067570747292107205,-0.012487018918738536,-0.029613020925463755,0.0020974278405922076,0.009163381939482308,0.0004456418432381617,-0.011807200469969872,0.01401613462412832,0.0068059511833995735,-0.012041377075500374,STEP_COUNT,4
17,17,-0.0037660389490773547,-0.014867970439608856,0.009279440614159909,0.006479355129024499,-0.01088156347376261,-0.028058895261293158,0.00022587337942182103,0.007324858198897892,-0.02315908662087185,-0.04923351702152167,0.0005862134167590172,0.013858558337835112,-0.03404065009463446,STEP_COUNT,4
18,18,-0.004579972745487593,-0.016787161257762577,0.0074492188282381045,0.006197718933150764,-0.0006687265931698046,-0.007977550654960667,0.0030710268733462123,0.0025643335977073513,-0.01856205448770209,-0.047550598771881156,0.01219034157549391,0.015741237365174826,-0.019230781080871895,STEP_COUNT,4
19,19,-0.004913536812685686,-0.017705236464052195,0.006197591979116948,0.0059776830151619465,0.0014992528828809964,-0.0037788928748165914,0.00790433310299052,0.0028467200278111246,-0.012750506972330435,-0.034743907427213255,0.006764871700272788,0.009860653194241472,-0.011251254089449438,STEP_COUNT,4
20,20,-0.00513015772177839,-0.01779235156716771,0.005498479992434343,0.00574307650845536,-0.0009895490389331125,-0.011048959353392208,0.006113472264296897,0.00470341640612523,-0.008473026864699376,-0.025789301329706867,0.00708767375816258,0.007696039072643193,-0.009462575903632489,STEP_COUNT,4
21,21,-0.0052028691674474315,-0.017295616247316795,0.005084805981190498,0.005481267612853534,-0.005699590127918118,-0.020337713943069845,0.005998689343623256,0.006345063877478949,-0.0010302193985791946,-0.01355555901482289,0.022831293935873725,0.00932900074549072,-0.0067298095264973126,STEP_COUNT,4
22,22,-0.005349429213461247,-0.01699271871704611,0.004539397864094704,0.005296962723903474,-0.0017496163507869798,-0.01425258434025066,0.00956895900163582,0.006010623563509877,-0.006824133874978216,-0.02846377194937559,0.020842332799077355,0.011808447504442522,-0.008573750225765196,STEP_COUNT,4
23,23,-0.005117356651058474,-0.016349397438455225,0.00425177644879001,0.005092576653748354,0.0009517434428228758,-0.009633615979119424,0.010776682501968086,0.0048020485608953264,-0.0007314311586175574,-0.01570876207803507,0.01298623430778224,0.006731187376781442,0.00022031228420531842,STEP_COUNT,4
24,24,-0.0042648808347627055,-0.014522221276522744,0.004507921031279552,0.0049197216228191575,0.01351650173332535,-0.006937392206624897,0.037883220123880706,0.01163891718909006,0.0026780370230103778,-0.008208116357501755,0.012767591151720853,0.005528845739013189,0.016194538756335728,STEP_COUNT,4
25,25,-0.004083335404324663,-0.013902801777683932,0.004227812328511087,0.004750033138421042,-0.0022266616223253106,-0.009772326105048251,0.005059851297101339,0.004184944102054093,0.0026819619789517175,-0.016930037512556062,0.018183684226116815,0.008285820230106754,0.00045530035662640685,STEP_COUNT,4
0,0,0.0004935923567667874,-0.00370770611123639,0.004868205046330223,0.0021092226468960346,0.0004935923567667874,-0.00370770611123639,0.004868205046330223,0.0021092226468960346,0.0,0.0,0.0,0.0,0.0004935923567667874,SLEEP_COUNT,4
1,1,8.393244861293835e-05,-0.004037498618491709,0.0074204686307138565,0.0025449286287347376,-0.0013329748319376004,-0.007084277671919799,0.008562786431654703,0.0036549491394678316,0.0010072473723966896,-0.0038843565234828697,0.006161464575985723,0.0024733120510743176,-0.0003257274595409108,SLEEP_COUNT,4
2,2,0.00040726667827399463,-0.004861061527186297,0.007248817149753011,0.0029669217274430754,0.000900080819755133,-0.008440604960106134,0.00868989343746594,0.004340558357812125,0.00015385431784097428,-0.00567420165157747,0.0051496697179295985,0.0027155624884296833,0.0010539351375961072,SLEEP_COUNT,4
3,3,-0.0019301270027446142,-0.00887215770889518,0.005234877444914057,0.0032273439178210684,-0.009757938592169394,-0.019770367434034822,0.0061334818278633955,0.007589380091807289,0.000815630546368953,-0.005547812790727828,0.006928051770180662,0.002968521107582254,-0.008942308045800441,SLEEP_COUNT,4
4,4,-0.0022683916674997163,-0.010099838128730764,0.0038330190711636223,0.003415988015130245,0.00013088864476544317,-0.013032771187912701,0.01586121999100751,0.006846730517296581,-0.0037523389712855685,-0.010769421237444805,0.004537967483690356,0.00407907626749506,-0.003621450326520125,SLEEP_COUNT,4
5,5,-0.0027401947939914213,-0.010110412928251584,0.004698469188203096,0.0037033857264913914,-0.002960228609704091,-0.01104185192710569,0.0007103296414357116,0.003234984778880559,-0.0021389818167458544,-0.019130803637658848,0.01634058439486385,0.008426348813789345,-0.0050992104264499455,SLEEP_COUNT,4
6,6,-0.0032125449619505096,-0.011168330016796743,0.00484493970156142,0.004094737769277856,-0.0005924409434512269,-0.006599258462654006,0.002737179810002133,0.002353899881125049,-0.005454205026253812,-0.0240419000214185,0.00902882879192301,0.007988626133465354,-0.006046645969705038,SLEEP_COUNT,4
7,7,-0.003065452677299846,-0.010880814181214692,0.005111968873352828,0.004369095180165778,0.001417554980333849,-0.006998606941768223,0.008998423473146033,0.003645134640284452,-0.00345336166507905,-0.018097541863012274,0.012849083806160455,0.008519621759263522,-0.002035806684745201,SLEEP_COUNT,4
8,8,-0.004597179776089642,-0.013653484407618476,0.004141531003744455,0.004879297511571134,-0.013491394144004543,-0.04068785922136875,0.0029842483601756516,0.011732628289776515,-0.0033596024224034644,-0.013897791966741437,0.01551440071727498,0.008419467143808099,-0.016850996566408007,SLEEP_COUNT,4
9,9,-0.004887029392592683,-0.014650107792838067,0.005398086483994663,0.0055717843383407475,0.005882127816074022,-0.011310799584528053,0.02330597918882203,0.008805352330917069,-0.013377803757194079,-0.04913846583922539,0.014277909146718323,0.016450212104592358,-0.007495675941120057,SLEEP_COUNT,4
10,10,-0.004942314899030977,-0.015265478800597171,0.005915013994603759,0.00587975801728836,0.000660084145259132,-0.005123999771799553,0.0056259728074392595,0.002562048825084874,-0.006155254108673054,-0.031389482943889636,0.014931536872643921,0.011401345814134052,-0.005495169963413922,SLEEP_COUNT,4
11,11,-0.005534870187500529,-0.01661910521562886,0.004999315213289545,0.006047725154833668,-0.007781647940229387,-0.02558550441515716,0.006797674557444428,0.008190887102593409,-0.00427133042043621,-0.024879984230404488,0.012256346023449133,0.009902927410324369,-0.012052978360665597,SLEEP_COUNT,4
12,12,-0.0069819506310739516,-0.01792528007547692,0.003878484542811502,0.006075066275209948,-0.015236652990973466,-0.03907718460055401,0.014253210463773543,0.013094784016925558,-0.009110262962981557,-0.024685995519006267,0.003925021882938126,0.007758809166967759,-0.024346915953955023,SLEEP_COUNT,4
13,13,-0.007062706490770713,-0.017573510523903057,0.004309760993413168,0.005994194433385067,0.003305178183925947,-0.006529593311578575,0.019201226028441955,0.0065742039101590035,-0.011417710850754572,-0.03126589807548437,0.007722696695337902,0.009804736657349693,-0.008112532666828626,SLEEP_COUNT,4
14,14,-0.00798978501496559,-0.018654632388939864,0.0039194181372405375,0.005852425719100775,-0.013739097582133802,-0.033468163712309394,-0.0022555163677108418,0.007957998828169189,-0.007229786771560064,-0.026296172101568857,0.009585166359799873,0.009397243874366822,-0.020968884353693866,SLEEP_COUNT,4
15,15,-0.008153276617363502,-0.019048391696994914,0.004032838280473873,0.005745819834016387,0.003520931094955431,-0.0022513266355056885,0.01362220100191549,0.003785144835492587,-0.014126581748287598,-0.02601343784872096,0.001487923454840499,0.007759022114531142,-0.010605650653332167,SLEEP_COUNT,4
16,16,-0.00853211038584709,-0.01987724869384723,0.0031219173080900752,0.005681879237568761,0.0025574349447587763,-0.01306287990321791,0.015337664184205263,0.006155138837623893,-0.017150885626343274,-0.03149210366718586,-0.0037752944629219367,0.008407630488699249,-0.014593450681584498,SLEEP_COUNT,4
17,17,-0.008440974450642862,-0.019285007789157663,0.002481391367680827,0.005591730854508371,-0.000792014508415519,-0.0071156619869689585,0.003960324757430738,0.00263793710972269,-0.0060996490437554805,-0.030831242444795442,0.015296232318741006,0.011287155109983463,-0.006891663552170999,SLEEP_COUNT,4
18,18,-0.009221155879702334,-0.019143619215696555,0.0008407004581978406,0.005467150703647472,-0.008476737704346359,-0.022992527699124805,0.007473041237512069,0.00796802104546544,-0.014787683898426456,-0.0343444630321956,0.0018750076390774847,0.0093744906611942,-0.023264421602772815,SLEEP_COUNT,4
19,19,-0.010158962679779818,-0.019780030193956785,-0.00039543494538081753,0.0053564011950094905,0.0015744849987319274,-0.0029841042300202576,0.007917117848583295,0.002700582748387762,-0.02955177687998397,-0.04883910380335356,-0.006762603607835222,0.011333211439491677,-0.02797729188125204,SLEEP_COUNT,4
20,20,-0.010755894201240249,-0.020883125947248064,-0.0011286471001960507,0.005309210661439455,-0.006816166058647874,-0.03238830193029836,0.017735385879043088,0.01356937421092776,-0.015878358571800998,-0.028565282185625356,2.9199623291810633e-05,0.00852668080936381,-0.02269452463044887,SLEEP_COUNT,4
21,21,-0.011173738940394458,-0.021090919323627118,-0.0016665420568815932,0.005317192758817715,-0.001034849021948693,-0.009936588008208467,0.009058051559295238,0.0043850896672560655,-0.018913629440684185,-0.05032244092719124,0.010217212627938337,0.016430296915222978,-0.01994847846263288,SLEEP_COUNT,4
22,22,-0.010653630541160334,-0.020207134711061486,-0.0010294854487330573,0.005279918888330283,0.007515844545244775,-0.0008046608266988912,0.02130033185033889,0.0059087961302599955,-0.006727090303254412,-0.021687927317615995,0.01191258364396323,0.008989860688321586,0.0007887542419903635,SLEEP_COUNT,4
23,23,-0.010033157908862762,-0.019159051956590175,-0.00039812990701947976,0.005205280979536911,-0.001832820816008086,-0.01097606977189091,0.0021870202511734046,0.0031354448070483893,0.006070533449989493,-0.00830973173066473,0.023377381602225678,0.008346454522807727,0.004237712633981407,SLEEP_COUNT,4
24,24,-0.00969122902661068,-0.01861118405764164,-0.00016663153253002765,0.005056544119147379,-0.0034045414409045135,-0.013792786240398881,0.004618335902706783,0.0053074581114136155,0.0019196055883438006,-0.007423632426362811,0.012514770612617236,0.005602815381024599,-0.001484935852560713,SLEEP_COUNT,4
